pre2 ATandT
twotone	ATandT
hcircuit	Hamm
scircuit	Hamm
xenon2	Ronis
lung2	Norris
stomach	Norris
torso1	Norris
torso2	Norris
torso3	Norris
cage12	vanHeukelum
cage13	vanHeukelum
cage14	vanHeukelum
matrix_9	Schenk_IBMSDS
matrix-new_3	Schenk_IBMSDS
barrier2-10	Schenk_ISEI
barrier2-11	Schenk_ISEI
barrier2-12	Schenk_ISEI
barrier2-1	Schenk_ISEI
barrier2-2	Schenk_ISEI
barrier2-3	Schenk_ISEI
barrier2-4	Schenk_ISEI
barrier2-9	Schenk_ISEI
ohne2	Schenk_ISEI
para-10	Schenk_ISEI
para-4	Schenk_ISEI
para-5	Schenk_ISEI
para-6	Schenk_ISEI
para-7	Schenk_ISEI
para-8	Schenk_ISEI
para-9	Schenk_ISEI
language	Tromble
Hamrle3	Hamrle
dc1	IBM_EDA
dc2	IBM_EDA
dc3	IBM_EDA
trans4	IBM_EDA
trans5	IBM_EDA
rajat21	Rajat
rajat23	Rajat
rajat24	Rajat
rajat29	Rajat
rajat30	Rajat
rajat31	Rajat
ASIC_320k	Sandia
ASIC_320ks	Sandia
ASIC_680k	Sandia
ASIC_680ks	Sandia
patents_main	Pajek
FEM_3D_thermal2	Botonakis
Baumann	Watson
crashbasis	QLi
majorbasis	QLi
Raj1	Rajat
hvdc2	HVDC
largebasis	QLi
tmt_unsym	CEMW
Freescale1	Freescale
thermomech_dK	Botonakis
atmosmodd	Bourchtein
atmosmodj	Bourchtein
atmosmodl	Bourchtein
memchip	Freescale
transient	Freescale
circuit5M_dc	Freescale
PR02R	Fluorem
RM07R	Fluorem
mac_econ_fwd500	Williams
webbase-1M	Williams
FullChip	Freescale
CoupCons3D	Janna
ML_Laplace	Janna
Transport	Janna
Freescale2	Freescale
power197k	PowerSystem
Goodwin_095	Goodwin
Goodwin_127	Goodwin
nv2	VLSI
imagesensor	VLSI
power9	VLSI
radiation	VLSI
test1	VLSI
dgreen	VLSI
vas_stokes_1M	VLSI
ss1	VLSI
ss	VLSI
nxp1	Freescale
marine1	Martin
